Timestamp	Name	RP	Country	Eyes	Colour
2026-07-20 18:04	Nyx	2290	japan	googly	#e05a5a
2026-07-21 09:12	Volt	2160	brazil	sleepy	#5a7de0
2026-07-21 20:47	Kestrel	2040	germany	googly	#46d17a
2026-07-22 11:30	Sable	1930	france	angry	#f5d547
2026-07-22 22:15	Q	1840	korea	googly	#f07a5a
2026-07-23 08:01	Blitz	1760	ukraine	star	#7f8aa0
2026-07-23 19:52	Mira	1690	italy	googly	#e07ad0
2026-07-24 07:44	Onyx	1610	usa	sleepy	#5aa0e0
2026-07-24 21:09	Pixel	1540	sweden	googly	#46d17a
2026-07-25 12:33	Juno	1470	argentina	heart	#e05a5a
2026-07-25 23:18	Rook	1400	uk	googly	#6b6be0
2026-07-26 10:05	Echo	1330	spain	angry	#f5d547
2026-07-26 20:41	Fern	1260	ireland	googly	#46d17a
2026-07-27 09:27	Dash	1190	mexico	star	#f07a5a
2026-07-27 22:03	Vega	1120	nigeria	googly	#5a7de0
2026-07-28 08:52	Bolt	1060	canada	sleepy	#e05a5a
2026-07-28 19:30	Koda	1010	netherl	googly	#46d17a
2026-07-29 11:14	Wren	960	portugal	heart	#e07ad0
2026-07-29 21:48	Sy	900	denmark	googly	#7f8aa0
2026-07-30 09:36	Ash	840	romania	angry	#f5d547
2026-07-30 20:22	Pip	780	finland	googly	#5aa0e0
2026-07-31 08:09	Rio	720	india	star	#f07a5a
2026-07-31 12:55	Lex	660	belgium	googly	#6b6be0
2026-07-31 15:40	Moss	600	austria	sleepy	#46d17a
